business_name,phone,email,website,address,rating,reviews,business_type,zip_code,source_url,scraped_at
Good Earth Good Eating,(513) 720-4264,,http://goodearthgoodeating.com/,"6391 Bridgetown Rd, Cincinnati, OH 45248",4.9,,Coffee Shops,45001,http://goodearthgoodeating.com/,2026-06-08 17:08:57
Minuteman Press,(513) 531-7600,print@minutemanpresswdc.com,http://www.kenwood.minutemanpress.com/,"7679 Montgomery Rd, Cincinnati, OH 45236",4.9,,Printing Presses,45001,http://www.kenwood.minutemanpress.com/,2026-06-08 19:28:03
Minuteman Press,(859) 341-8769,print@minutemanpresswdc.com,https://minuteman.com/us/locations/ky/erlanger/,"33 Kenton Lands Rd, Erlanger, KY 41018",4.4,,Printing Presses,45001,https://minuteman.com/us/locations/ky/erlanger/,2026-06-08 19:28:22
Minuteman Press,(513) 942-9267,print@minutemanpresswdc.com,http://www.cincinnatiminutemanpress.com/,"6080 West Chester Rd, West Chester Township, OH 45069",4.8,,Printing Presses,45001,http://www.cincinnatiminutemanpress.com/,2026-06-08 19:28:50
Minuteman Press,(513) 874-3056,print@minutemanpresswdc.com,http://www.fairfield.minutemanpress.com/,"6601 Dixie Hwy C, Fairfield, OH 45014",4.8,,Printing Presses,45001,http://www.fairfield.minutemanpress.com/,2026-06-08 19:29:11
Minuteman Press,(513) 791-9171,print@minutemanpresswdc.com,http://www.blueash.minutemanpress.com/,"11130 Kenwood Rd, Cincinnati, OH 45242",4.7,,Printing Presses,45001,http://www.blueash.minutemanpress.com/,2026-06-08 19:30:16
Minuteman Press,(513) 772-0500,print@minutemanpresswdc.com,https://www.shop.minutemanpress.com/print-shop/oh/cincinnati23/#16/39.2699/-84.4372,"11755 Mosteller Rd suite d, Sharonville, OH 45241",5,,Printing Presses,45001,https://www.shop.minutemanpress.com/print-shop/oh/cincinnati23/#16/39.2699/-84.4372,2026-06-08 19:30:36
Prographics Printing,(513) 731-1440,,http://www.prographicsprinting.com/,"4404 Forest Ave, Cincinnati, OH 45212",5,,Photocopy/Service Centers,45001,http://www.prographicsprinting.com/,2026-06-08 19:32:07
Kroger Pharmacy,(513) 574-5044,last@krogerspecialtypharmacy.com,https://www.kroger.com/rx/pharmacy/details/014/00444?cid=loc_01400444P_gmb,"5910 Harrison Ave, Cincinnati, OH 45248",2.4,,Pharmacies,45001,https://www.kroger.com/rx/pharmacy/details/014/00444?cid=loc_01400444P_gmb,2026-06-08 19:37:57
CVS Pharmacy,(513) 719-1077,Amy.Thibault@CVSHealth.com,https://www.cvs.com/store-locator/cincinnati-oh-pharmacies/6150-glenway-ave-cincinnati-oh-45211/storeid=17534?WT.mc_id=LS_GOOGLE_RX_17534,"6150 Glenway Ave, Cincinnati, OH 45211",3.6,,Pharmacies,45001,https://www.cvs.com/store-locator/cincinnati-oh-pharmacies/6150-glenway-ave-cincinnati-oh-45211/storeid=17534?WT.mc_id=LS_GOOGLE_RX_17534,2026-06-08 19:38:02
Kroger Pharmacy,(859) 962-4920,last@krogerspecialtypharmacy.com,https://www.kroger.com/rx/pharmacy/details/014/00409?cid=loc_01400409P_gmb,"3105 N Bend Rd, Hebron, KY 41048",2.4,,Pharmacies,45001,https://www.kroger.com/rx/pharmacy/details/014/00409?cid=loc_01400409P_gmb,2026-06-08 19:38:12
Kroger Pharmacy,(513) 719-2420,last@krogerspecialtypharmacy.com,https://www.kroger.com/rx/pharmacy/details/014/00948?cid=loc_01400948P_gmb,"6165 Glenway Ave, Cincinnati, OH 45211",3.9,,Pharmacies,45001,https://www.kroger.com/rx/pharmacy/details/014/00948?cid=loc_01400948P_gmb,2026-06-08 19:38:33
Walgreens Pharmacy,(513) 347-3359,corporate.careers@walgreens.com,https://www.walgreens.com/locator/walgreens-2320+boudinot+ave-cincinnati-oh-45238/id=4246,"2320 Boudinot Ave Walgreens, Cincinnati, OH 45238",4.1,,Pharmacies,45001,https://www.walgreens.com/locator/walgreens-2320+boudinot+ave-cincinnati-oh-45238/id=4246,2026-06-08 19:39:15
Furniture Fair,(800) 966-3040,,https://furniturefair.net/pages/colerain,"8760 Colerain Ave, Cincinnati, OH 45251",4.7,,Furniture Stores,45001,https://furniturefair.net/pages/colerain,2026-06-08 20:51:36
Furniture Fair,(800) 966-3040,,https://furniturefair.net/pages/fairfield,"7200 Dixie Hwy, Fairfield, OH 45014",4.5,,Furniture Stores,45001,https://furniturefair.net/pages/fairfield,2026-06-08 20:52:35
Furniture Fair,(800) 966-3040,,https://furniturefair.net/pages/coldspring,"3710 Alexandria Pike, Cold Spring, KY 41076",4.8,,Furniture Stores,45001,https://furniturefair.net/pages/coldspring,2026-06-08 20:52:53
Omega Beauty & Wellness,(513) 402-2216,,http://www.omegabeautycincy.com/,"1126 Broadway, Cincinnati, OH 45202",4.8,,Beauty Salons/Spas,45001,http://www.omegabeautycincy.com/,2026-06-08 20:56:13
Great Lakes Ace,(859) 525-2038,q22kt8gt6n4@networksolutionsprivateregistration.com,http://www.greatlakesace.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18713,"8515 US-42, Florence, KY 41042",4.4,,Hardware Stores,45001,http://www.greatlakesace.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18713,2026-06-08 20:59:34
Great Lakes Ace,(937) 381-6092,q22kt8gt6n4@networksolutionsprivateregistration.com,https://www.greatlakesace.com/locations/finneytown/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18528,"8449 Winton Rd, Cincinnati, OH 45231",4.5,,Hardware Stores,45001,https://www.greatlakesace.com/locations/finneytown/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=18528,2026-06-08 20:59:41
Centennial Field House at Mount St. Joseph University,(513) 244-4402,,,,https://www.msj.edu/about/administration/transformation-2025/recreation-fitness-center.html,"5771 Delhi Rd, Cincinnati, OH 45233",4.7,,Indoor Sports Arenas,45001,https://www.msj.edu/about/administration/transformation-2025/recreation-fitness-center.html,2026-06-09 02:03:36
Griffin Elite Sports & Wellness,(859) 331-0979,,,,http://griffinelite.com/,"700 Dolwick Dr, Erlanger, KY 41018",4.4,,Indoor Sports Arenas,45001,http://griffinelite.com/,2026-06-09 02:03:36
Arena 5/9 Family Fun Zone LLC,(513) 601-3028,,,,https://ecom.roller.app/arena59/buynow/en-us/products?date=2024-10-05,"221 S State St, West Harrison, IN 47060",5,,Indoor Sports Arenas,45001,https://ecom.roller.app/arena59/buynow/en-us/products?date=2024-10-05,2026-06-09 02:03:37
Dauch Indoor Sports Center,,,,,,"800 Weeb Ewbank Way, Oxford, OH 45056",4.9,,Indoor Sports Arenas,45001,17156896435908563685,2026-06-09 02:03:37
mvp sports indoor,(812) 747-0001,,,,,"221 S State St, West Harrison, IN 47060",4.5,,Indoor Sports Arenas,45001,10383121013100466283,2026-06-09 02:03:47
Sunoco,(513) 941-0208,anonymous-registrant@brandsight.com,65,Layer 3 WHOIS,https://www.sunoco.com/locations/store/6340-river-rd-cincinnati-oh-0594809600,"6340 River Rd, Cincinnati, OH 45233",4.2,,convenience stores,45001,https://www.sunoco.com/locations/store/6340-river-rd-cincinnati-oh-0594809600,2026-06-09 02:07:00
United Dairy Farmers,(513) 574-3480,consumerrelations@udfinc.com,88,Layer 1 website,https://www.udfinc.com/,"6075 Harrison Ave, Cincinnati, OH 45247",3.3,,convenience stores,45001,https://www.udfinc.com/,2026-06-09 02:07:07
United Dairy Farmers,(513) 922-0200,consumerrelations@udfinc.com,88,Layer 1 website,https://www.udfinc.com/,"5692 Rapid Run Rd, Cincinnati, OH 45238",3.3,,convenience stores,45001,https://www.udfinc.com/,2026-06-09 02:07:16
Shell,(614) 465-7077,ipladmin@shell.com,73,Layer 3 WHOIS,https://find.shell.com/us/fuel/12547826-10220-suspension-bridge-rd/en_US,"10220 Suspension Bridge Rd, Harrison, OH 45030",3.8,,convenience stores,45001,https://find.shell.com/us/fuel/12547826-10220-suspension-bridge-rd/en_US,2026-06-09 02:07:17
