business_name,phone,email,website,address,rating,reviews,business_type,zip_code,source_url,scraped_at,rejection_reason
Strong's Brick Oven Pizzeria,(513) 510-4157,,https://www.strongsbrickovenpizza.com/,"6166 Bridgetown Rd, Cincinnati, OH 45248",4.5,,Pizza Parlors,45001,https://www.strongsbrickovenpizza.com/,2026-06-08 16:53:25,Missing: email
Dewey's Pizza - Harrison Greene,(513) 574-5744,,https://deweyspizza.com/location/harrison-greene/,"5649 Harrison Ave, Cincinnati, OH 45248",4.6,,Pizza Parlors,45001,https://deweyspizza.com/location/harrison-greene/,2026-06-08 16:54:03,Missing: email
Your Mom’s Pizzeria,(513) 381-1888,,http://yourmomspizzeria.com/,"1045 St Gregory St, Cincinnati, OH 45202",4.7,,Pizza Parlors,45001,http://yourmomspizzeria.com/,2026-06-08 16:54:13,Missing: email
Krimmer's Italianette Pizzeria,(513) 521-7650,,https://www.italianettepizza.com/,"1704 W Galbraith Rd, North College Hill, OH 45239",4.5,,Pizza Parlors,45001,https://www.italianettepizza.com/,2026-06-08 16:54:37,Missing: email
The Works Pizza Co. Covington,(859) 261-0414,,https://theworkspizzaco.com/,"114 Park Pl, Covington, KY 41011",4.3,,Pizza Parlors,45001,https://theworkspizzaco.com/,2026-06-08 16:54:47,Missing: email
Incline Smoke Shack,(513) 996-1009,,https://www.inclinesmokeshack.com/,"7391 Forbes Rd, Cincinnati, OH 45233",4.3,,Pizza Parlors,45001,https://www.inclinesmokeshack.com/,2026-06-08 16:54:57,Missing: email
Ghost Pizza,(859) 815-8011,,https://www.ghostkitchenpizzas.com/,"409 Lehmer St, Covington, KY 41011",4.9,,Pizza Parlors,45001,https://www.ghostkitchenpizzas.com/,2026-06-08 16:55:07,Missing: email
Bakery Express Midwest LLC,,Garrett@thinkrural.com,,"8000 Dixon Dr, Florence, KY 41042",4.8,,Commercial Bakeries,45001,5363498184350467554,2026-06-08 17:00:40,Missing: phone
Sprinkles Creamy Whip,(513) 546-1731,,https://sprinklescreamywhip.wixsite.com/sprinklescreamywhip,"500 N Miami Ave, Cleves, OH 45002",4.7,,Ice Cream Parlors,45001,https://sprinklescreamywhip.wixsite.com/sprinklescreamywhip,2026-06-08 17:01:23,Missing: email
Cone Zone,(513) 481-9663,,,"4101 Harrison Ave, Cincinnati, OH 45211",4.6,,Ice Cream Parlors,45001,16587145349209869071,2026-06-08 17:01:50,Missing: email
Whitewater Whippy Dip,(513) 910-3086,,https://whitewaterwhippydip.com/,"9705 Dry Fork Rd, Harrison, OH 45030",4.7,,Ice Cream Parlors,45001,https://whitewaterwhippydip.com/,2026-06-08 17:01:53,Missing: email
Pendleton Parlor: Ice Cream & Cookie Dough,,,,"1218 Broadway, Cincinnati, OH 45202",4.5,,Ice Cream Parlors,45001,11052847795769539501,2026-06-08 17:03:02,"Missing: phone, email"
Hello Honey,,hellohoneyicecream@gmail.com,https://www.hellohoneyicecream.com/,"6105 Ridge Ave, Cincinnati, OH 45213",4.7,,Ice Cream Parlors,45001,https://www.hellohoneyicecream.com/,2026-06-08 17:03:37,Missing: phone
Pipers Soft Serve Bar,(859) 291-7287,,http://www.piperssoftservebar.com/,"503 W 6th St, Covington, KY 41011",4.6,,Ice Cream Parlors,45001,http://www.piperssoftservebar.com/,2026-06-08 17:03:47,Missing: email
