run_id,business_type,zip_code,requested_leads,valid_leads_found,rejected_count,already_existing_count,pages_scraped,run_datetime
B1E0D436,Pizza Parlors,45001,10,10,1,0,1,2026-06-08 16:40:59
10797AEC,Pizza Parlors,45001,20,20,0,0,1,2026-06-08 16:42:19
BC8CEFDD,Pizza Parlors,45001,10,10,7,0,1,2026-06-08 16:55:25
C89267E9,Commercial Bakeries,45001,20,0,1,0,2,2026-06-08 17:00:44
E2A07FF8,Ice Cream Parlors,45001,20,14,6,0,2,2026-06-08 17:03:56
2D695C18,Dine-in Restaurants,45001,20,13,7,0,2,2026-06-08 17:07:18
8E2FD18F,Coffee Shops,45001,20,9,10,1,2,2026-06-08 17:10:22
33DE0DC8,Cold Storage Facilities,45001,20,9,11,0,2,2026-06-08 17:13:55
7A45E8C3,Meat & Butcher Shops,45001,20,9,11,0,2,2026-06-08 17:16:36
8C858C22,Catering Kitchens,45001,20,12,8,0,2,2026-06-08 17:24:31
D1660E30,Hotels & Motels,45001,20,10,10,0,2,2026-06-08 17:30:04
BA0122DC,Breweries/Distilleries,45001,20,9,11,0,2,2026-06-08 17:33:38
3A5CB290,Dairy Shops,45001,20,18,2,0,2,2026-06-08 17:34:35
A32AE93E,Candy/Chocolate Factories,45001,20,14,6,0,2,2026-06-08 17:58:28
9D0171D4,Dairy Shops,45001,20,18,2,0,2,2026-06-08 18:12:09
82CA62AC,Car Dealerships,45001,20,8,12,0,2,2026-06-08 18:19:36
5300C9AA,Fitness Centers/Gyms,45001,20,16,4,0,2,2026-06-08 18:29:38
3B73F75C,Laundromats,45001,20,4,16,0,2,2026-06-08 19:21:08
598CCF34,Printing Presses,45001,20,10,4,6,2,2026-06-08 19:31:10
764CF85A,Photocopy/Service Centers,45001,20,13,6,1,2,2026-06-08 19:35:02
6020E409,Pharmacies,45001,20,9,6,5,2,2026-06-08 19:40:16
125B67CD,Clothing Boutiques,45001,20,8,12,0,2,2026-06-08 19:46:49
1AC21915,Furniture Stores,45001,20,8,9,3,2,2026-06-08 20:53:01
9CF06FF6,Beauty Salons/Spas,45001,20,13,6,1,2,2026-06-08 20:56:15
BB0CD00B,Hardware Stores,45001,20,8,10,2,2,2026-06-08 21:00:14
5B4A3FA0,Auto Repair Shops,45001,20,6,14,0,2,2026-06-08 21:17:51
47242037,Carpentry/Furniture Workshops,45001,20,14,6,0,2,2026-06-08 21:24:17
5D8C4C34,Garment Factories,45001,20,2,2,0,2,2026-06-08 21:26:15
3B97B681,Steel Fabrication Units,45001,20,13,7,0,2,2026-06-08 21:30:45
2A18FD42,Indoor Sports Arenas,45001,20,5,3,0,2,2026-06-08 21:32:06
5CBE8B67,Small Flour Mills,45001,20,1,2,0,2,2026-06-08 21:33:36
